    |             BAT_NAME|     RA|    DEC|    SNR|              COUNTERPART_NAME|                     OTHER_NAME| CTPT_RA|CTPT_DEC|    FLUX| FLUX_LO| FLUX_HI|CONTA|GAMM|GAMM|GAMM|  CHI_SQ_R|REDSHIF|  LUM|ASSOC_STREN|        CL2|                 TYPE
#   |                     |    deg|    deg|       |                              |                               |     deg|     deg|10^-12er|10^-12er|10^-12er|     |    |    |    |          |       |log[e|           |           |
  40|   SWIFT J0055.4+4612| 13.838| 46.206|  15.80|         1RXS J005528.0+461143|                               | 13.8329| 46.2158|   18.52|   16.80|   19.86|  0.0|3.02|2.75|3.33|      2.30|       |     |           |         90|CV
  41|   SWIFT J0056.7+6043| 14.170| 60.717|  75.52|                     Gamma Cas|                               | 14.1772| 60.7167|   83.44|   82.07|   84.70|  0.0|3.35|3.29|3.42|     11.00|       |     |           |        180|HMXB
  42|   SWIFT J0057.0+6405| 14.202| 64.051|   5.80|           NVSS J005712+635942|                               | 14.3036| 63.9952|    8.23|    6.13|   10.09|  0.0|2.33|1.81|3.00|      1.00|       |     |           |         80|Beamed AGN
  43|   SWIFT J0059.4+3150| 14.986| 31.833|  16.60|                       Mrk 352|                               | 14.9720| 31.8269|   31.13|   28.53|   33.52|  0.0|1.90|1.72|2.10|      0.30| 0.0149|43.19|           |         40|Sy1.2
  44|   SWIFT J0100.9-4750| 15.161|-47.871|   9.21|          ESO 195-IG 021 NED03|                               | 15.1457|-47.8676|   15.70|   13.26|   17.92|  0.0|1.83|1.47|2.23|      0.50| 0.0483|43.94|           |         50|Sy2
  45|   SWIFT J0101.5-0308| 15.262| -3.158|   4.39|       2MASX J01012440-0308399|                               | 15.3517| -3.1445|    8.44|    6.81|   11.19|  0.0|1.80|1.02|2.76|      0.40| 0.0694|43.99|           |         40|Sy1.8
  46|  SWIFT J0102.6-7242A| 15.648|-72.735|   6.53|               IGR J01054-7253|                               | 16.1725|-72.9013|    3.42|    2.35|    5.02|  0.0|3.46|2.29|6.00|      1.00|       |     |           |        180|HMXB
  47|  SWIFT J0102.6-7242B| 15.714|-72.749|   4.49|                 XTE J0103-728|                               | 15.7212|-72.7425|   13.42|   12.32|   15.30|  0.0|3.17|2.65|3.85|      0.50|       |     |           |        180|HMXB
  48|   SWIFT J0103.8-6437| 15.950|-64.640|   7.19|                  PKS 0101-649|                               | 15.8904|-64.6521|   14.30|   12.82|   16.78|  0.0|1.58|1.07|2.12|      1.20| 0.1630|45.02|           |         80|Beamed AGN
  49|   SWIFT J0105.5-4213| 16.349|-42.205|   7.47|                MCG -07-03-007|                               | 16.3617|-42.2162|   14.43|   12.96|   16.88|  0.0|1.70|1.35|2.09|      1.00| 0.0302|43.48|           |         50|Sy2
  50|   SWIFT J0106.2-4704| 16.497|-47.073|   5.06|                ESO 243- G 026|                               | 16.4082|-47.0717|    5.91|    4.09|    7.68|  0.0|2.59|1.83|3.74|      0.20| 0.0193|42.70|           |         50|Sy2
  51|   SWIFT J0105.7-1414| 16.414|-14.260|   7.65|       2MASX J01053882-1416133|                               | 16.4117|-14.2704|   11.08|    8.77|   13.28|  0.0|2.46|1.96|3.10|      0.20| 0.0660|44.07|           |         50|Sy1.9
  52|   SWIFT J0105.6-3433| 16.436|-34.556|   8.63|                  HE 0103-3447|                               | 16.4442|-34.5292|   14.10|   11.59|   16.48|  0.0|2.04|1.67|2.49|      1.80| 0.0570|44.04|           |         40|Sy1
  53|   SWIFT J0106.8+0639| 16.660|  6.628|   9.95|       2MASX J01064523+0638015|                               | 16.6886|  6.6339|   17.93|   15.14|   20.58|  0.0|2.04|1.67|2.47|      1.90| 0.0410|43.85|           |         50|Sy2
  54|  SWIFT J0107.7-1137A| 16.986|-11.644|   7.49|         1RXS J010737.5-113946|                               | 16.9075|-11.6660|   15.27|    0.00|   43.59|  0.0|1.95|0.00|0.00|      0.00|       |     |           |         12|U2
  55|  SWIFT J0107.7-1137B| 16.907|-11.627|   8.40|       2MASX J01073963-1139117|                               | 16.9152|-11.6532|   15.27|    0.00|   43.54|  0.0|1.95|0.00|0.00|      0.00| 0.0475|43.91|           |         50|Sy2
  56|  SWIFT J0107.7-1137C| 16.873|-11.650|  10.74|         1RXS J010713.0-113554|                               | 16.8074|-11.6007|    2.56|    1.02|    4.02|  0.0|8.25|0.00|0.00|      1.20|       |     |           |         12|U2
  57|   SWIFT J0109.0+1320| 17.194| 13.353|  14.56|                        3C 033|                               | 17.2203| 13.3372|   27.68|   25.10|   29.77|  0.0|1.97|1.76|2.19|      1.80| 0.0597|44.37|           |         50|Sy2
  58|   SWIFT J0111.4-3808| 17.861|-38.098|  11.64|                       NGC 424|                               | 17.8650|-38.0830|   21.51|   19.15|   24.47|  0.0|1.91|1.67|2.16|      0.60| 0.0118|42.83|           |         50|Sy1.9
  59|   SWIFT J0113.8+2515| 18.419| 25.294|   5.52|          87GB 011040.5+250307|                               | 18.3446| 25.3148|    8.70|    6.27|   11.68|  0.0|2.09|1.37|3.02|      0.80|       |     |           |         80|Beamed AGN
  60|   SWIFT J0113.8+1313| 18.476| 13.222|   7.76|                       Mrk 975|                               | 18.4626| 13.2717|   13.50|   10.99|   16.61|  0.0|2.09|1.66|2.60|      1.30| 0.0496|43.89|           |         40|Sy1.2
  61|   SWIFT J0113.8-1450| 18.474|-14.864|  14.24|                      Mrk 1152|                               | 18.4587|-14.8456|   24.04|   21.65|   27.04|  0.0|2.12|1.89|2.37|      0.30| 0.0527|44.20|           |         40|Sy1.2
  62|   SWIFT J0114.5-3236| 18.559|-32.664|   6.46|                       IC 1657|                               | 18.5292|-32.6509|   12.18|    9.56|   14.44|  0.0|1.83|1.34|2.40|      0.10| 0.0120|42.59|           |         50|Sy2
  63|   SWIFT J0114.4-5522| 18.599|-55.397|   9.41|                      NGC 454E|                               | 18.6038|-55.3971|   19.04|   16.35|   21.37|  0.0|1.56|1.25|1.88|      0.20| 0.0121|42.79|           |         50|Sy2
  64|   SWIFT J0116.3+3104| 19.081| 31.046|   6.37|                       NGC 452|                               | 19.0618| 31.0338|   11.90|    9.37|   14.08|  0.0|2.00|1.56|2.51|      1.20| 0.0166|42.87|           |         50|Sy2
  65|   SWIFT J0116.5-1235| 19.129|-12.582|   5.65|       2MASX J01163118-1236171|                               | 19.1298|-12.6047|    9.34|    6.82|   11.51|  0.0|2.13|1.59|2.82|      0.70|       |     |           |         70|Unknown AGN
  66|   SWIFT J0117.8-7327| 19.272|-73.444| 394.46|                       SMC X-1|                               | 19.2714|-73.4433|  420.98|  419.61|  422.18|  0.0|3.35|3.33|3.36|    700.10|       |     |           |        180|HMXB
  67|   SWIFT J0117.8+6516| 19.512| 65.294| 119.37|                   2S 0114+650|                               | 19.5112| 65.2916|  155.40|  153.34|  156.97|  0.0|2.64|2.61|2.67|      8.00|       |     |           |        180|HMXB
  68|   SWIFT J0118.5+6344| 19.614| 63.738|  60.44|                   4U 0115+634|                               | 19.6330| 63.7400|   66.26|   64.71|   67.44|  0.0|3.38|3.30|3.46|      4.20|       |     |           |        180|HMXB
  69|   SWIFT J0122.0-2818| 20.518|-28.315|   5.04|               [HB89] 0119-286|                               | 20.4646|-28.3492|   10.61|    7.24|   13.16|  0.0|1.54|0.89|2.22|      0.50| 0.1160|44.57|           |         40|Sy1
  70|   SWIFT J0122.8+5003| 20.673| 50.105|   8.35|                MCG +08-03-018|                               | 20.6435| 50.0550|   10.24|    8.20|   11.76|  0.0|2.78|2.29|3.40|      0.10| 0.0204|42.98|           |         50|Sy2
  71|   SWIFT J0122.9+3420| 20.776| 34.371|   9.23|         SHBL J012308.7+342049|                               | 20.7860| 34.3469|   11.27|    9.65|   13.34|  0.0|2.94|2.46|3.55|      0.80| 0.2720|45.41|           |         80|Beamed AGN
  72|   SWIFT J0123.8-3504| 20.973|-35.060|  40.94|                      NGC 526A|                               | 20.9766|-35.0654|   73.91|   71.60|   76.84|  0.0|1.93|1.85|2.00|      0.40| 0.0191|43.78|           |         50|Sy2
  73|   SWIFT J0123.9-5846| 20.959|-58.798|  31.68|                     Fairall 9|                               | 20.9408|-58.8057|   48.39|   46.35|   50.99|  0.0|2.03|1.93|2.14|      2.00| 0.0470|44.40|           |         40|Sy1.2
  74|   SWIFT J0124.5+3350| 21.136| 33.768|  11.71|                       NGC 513|                               | 21.1119| 33.7995|   24.47|   21.85|   27.80|  0.0|1.74|1.50|1.98|      1.20| 0.0195|43.32|           |         50|Sy2
  75|   SWIFT J0126.0+3511| 21.593| 35.118|   4.53|         1RXS J012556.6+351039|                               | 21.4832| 35.1761|    7.07|    4.24|    9.03|  0.0|2.00|1.15|3.01|      1.50| 0.3120|45.35|           |         40|Sy1
  76|   SWIFT J0126.2+1517| 21.514| 15.382|   4.65|                        RHS 10|                               | 21.4919| 15.3038|    6.83|    4.07|    8.72|  0.0|2.25|1.52|3.34|      1.40| 0.1110|44.34|           |         40|Sy1
  77|   SWIFT J0127.5+1910| 21.906| 19.167|   9.27|                       Mrk 359|                               | 21.8856| 19.1788|   13.57|   11.02|   15.36|  0.0|2.37|1.97|2.86|      2.00| 0.0174|42.97|           |         40|Sy1.5
  78|   SWIFT J0128.0-1850| 22.017|-18.800|  10.66|                MCG -03-04-072|                               | 22.0280|-18.8086|   20.00|   17.09|   22.06|  0.0|1.94|1.64|2.26|      0.30| 0.0460|44.00|           |         40|Sy1
  79|   SWIFT J0128.4+1631| 22.123| 16.477|   7.13|                  CGCG 459-058|                               | 22.1017| 16.4593|   14.01|   10.81|   16.28|  0.0|1.83|1.38|2.35|      0.40| 0.0386|43.69|           |         50|Sy1.9
  80|   SWIFT J0128.9-6039| 22.247|-60.630|   5.81|       2MASX J01290761-6038423|                               | 22.2818|-60.6450|    7.79|    6.01|    9.49|  0.0|2.32|1.78|3.01|      0.60|       |     |           |         50|Sy2
  81|   SWIFT J0130.0-4218| 22.520|-42.341|   5.07|                ESO 244-IG 030|                               | 22.4636|-42.3265|    5.53|    4.03|    7.01|  0.0|2.88|2.01|4.46|      0.50| 0.0256|42.92|           |         50|Sy2
  82|   SWIFT J0130.2-4552| 22.545|-45.915|   5.97|       2MASX J01302127-4601448|                               | 22.5887|-46.0292|   12.22|    9.72|   14.56|  0.0|1.48|0.99|1.99|      0.30|       |     |           |         50|Sy2
  83|   SWIFT J0131.8-3307| 22.993|-33.113|   7.91|                ESO 353- G 009|                               | 22.9601|-33.1193|   14.48|   12.16|   16.66|  0.0|1.86|1.47|2.31|      0.40| 0.0165|42.95|           |         50|Sy2
  84|   SWIFT J0134.1-3625| 23.490|-36.493|  22.87|                       NGC 612|                               | 23.4906|-36.4933|   48.97|   46.94|   51.52|  0.0|1.61|1.48|1.73|      0.10| 0.0298|44.00|           |         50|Sy2
  85|   SWIFT J0134.8-0430| 23.744| -4.520|   9.98|       2MASX J01344565-0430134|                               | 23.6902| -4.5036|   19.27|   17.13|   21.94|  0.0|1.80|1.49|2.13|      0.70| 0.0790|44.47|           |         50|Sy1.9
  86|   SWIFT J0136.5+3906| 24.126| 39.050|   4.76|                   B3 0133+388|                               | 24.1354| 39.0999|    7.91|    6.07|   10.19|  0.0|1.99|1.30|2.89|      1.90|       |     |           |         80|Beamed AGN
  87|   SWIFT J0138.6-4001| 24.660|-40.005|  36.50|                   ESO 297-018|                               | 24.6548|-40.0114|   67.37|   65.50|   69.72|  0.0|1.79|1.71|1.87|      1.10| 0.0252|43.99|           |         50|Sy2
  88|   SWIFT J0138.8+2925| 24.626| 29.449|   4.56|       2MASX J01392400+2924067|                               | 24.8500| 29.4019|    5.33|    3.32|    7.31|  0.0|2.64|1.70|4.27|      1.00| 0.0759|43.88|           |         50|Sy1.9
  89|   SWIFT J0140.6-5321| 25.132|-53.345|   9.56|       2MASX J01402676-5319389|                               | 25.1116|-53.3276|   12.94|   11.03|   14.96|  0.0|2.23|1.87|2.66|      1.00| 0.0744|44.24|           |         50|Sy2
  90|   SWIFT J0142.0+3922| 25.524| 39.401|   9.00|                   B2 0138+39B|                               | 25.4906| 39.3914|   14.92|   12.59|   17.39|  0.0|2.08|1.70|2.52|      0.80| 0.0800|44.37|           |         80|Beamed AGN
  91|   SWIFT J0146.0+6143| 26.607| 61.750|  30.64|                  PSR J0146+61|                               | 26.5934| 61.7509|  114.47|  111.18|  117.95|  0.0|0.87|0.79|0.95|      0.80|       |     |           |        150|Pulsar
  92|  SWIFT J0149.2+2153A| 27.159| 21.789|   2.21|       2MASX J01485967+2145343|                               | 27.2487| 21.7593|    3.87|    0.75|    6.92|  0.0|2.08|0.00|0.00|      0.80|       |     |           |         70|Unknown AGN
  93|  SWIFT J0149.2+2153B| 27.329| 21.953|   5.24|                       NGC 678|                               | 27.3536| 21.9973|    6.63|    3.79|    9.61|  0.0|2.43|1.42|4.17|      0.50| 0.0095|42.12|           |         70|Unknown AGN
  94|   SWIFT J0149.9-5019| 27.375|-50.325|   7.39|       2MASX J01492228-5015073|                               | 27.3428|-50.2521|   13.20|   10.40|   16.11|  0.0|1.58|1.15|2.04|      0.40|       |     |           |         40|Sy1.2
  95|   SWIFT J0151.3-3610| 27.869|-36.134|   6.83|                ESO 354- G 004|                               | 27.9245|-36.1878|   11.18|    8.62|   13.83|  0.0|1.98|1.52|2.51|      0.40| 0.0335|43.46|           |         50|Sy1.9
  96|   SWIFT J0152.8-0329| 28.202| -3.461|  11.55|                MCG -01-05-047|                               | 28.2042| -3.4468|   24.02|   20.92|   27.25|  0.0|1.80|1.56|2.06|      3.00| 0.0172|43.20|           |         50|Sy2
  97|   SWIFT J0154.9-2707| 28.635|-27.147|  11.60|        2MASSi J0154403-270701|                               | 28.6679|-27.1169|   15.96|   13.70|   18.33|  0.0|2.44|2.13|2.79|      0.50| 0.7900|46.67|           |         70|Unknown AGN
  98|   SWIFT J0155.4+0228| 28.865|  2.513|   8.54|                  1ES 0152+022|                               | 28.8538|  2.4712|   13.24|   10.54|   16.07|  0.0|2.31|1.89|2.84|      1.20| 0.0820|44.34|           |         40|Sy1
  99|   SWIFT J0157.2+4715| 29.288| 47.264|   5.93|       2MASX J01571097+4715588|                               | 29.2956| 47.2666|   12.13|    9.14|   15.26|  0.0|1.81|1.35|2.31|      0.90|       |     |           |         40|Sy1
 100|   SWIFT J0157.8-7300| 29.372|-73.015|   7.18|               IGR J01572-7259|                               | 29.3173|-72.9757|    8.80|    6.73|   10.93|  0.0|2.55|1.99|3.30|      0.50|       |     |           |        180|HMXB
 101|   SWIFT J0200.3+2428| 30.155| 24.465|   4.96|                     UGC 01479|                               | 30.0794| 24.4737|   13.19|   10.08|   17.30|  0.0|1.31|0.75|1.91|      1.60| 0.0164|42.90|           |         50|Sy2
 102|   SWIFT J0201.0-0648| 30.270| -6.822|  38.22|                       NGC 788|                               | 30.2769| -6.8155|   77.51|   74.99|   80.88|  0.0|1.82|1.74|1.90|      2.60| 0.0136|43.51|           |         50|Sy2
 103|  SWIFT J0202.4+6824A| 30.659| 68.337|   7.25|       2MASX J02021731+6821460|                               | 30.5720| 68.3620|   14.77|    8.87|   22.59|  0.0|1.73|0.56|3.14|      0.20| 0.0119|42.67|           |         70|Unknown AGN
 104|  SWIFT J0202.4+6824B| 30.607| 68.408|   8.82|       2MASX J02013241+6824219|                               | 30.3850| 68.4061|    7.04|    0.00|   17.65|  0.0|0.71|0.00|0.00|      0.20| 0.0152|42.56|           |         70|Unknown AGN
 105|   SWIFT J0203.1-2359| 30.741|-24.001|   7.18|         1RXS J020301.2-240213|                               | 30.7537|-24.0367|    9.96|    8.04|   11.78|  0.0|2.42|1.91|3.08|      0.20| 0.1781|44.95|           |         40|Sy1.5
 106|   SWIFT J0206.2-0019| 31.576| -0.271|  11.83|                      Mrk 1018|                               | 31.5666| -0.2914|   24.27|   21.64|   26.85|  0.0|1.82|1.56|2.10|      0.80| 0.0424|44.01|           |         40|Sy1.2
 107|   SWIFT J0207.0+2931| 31.748| 29.502|  10.35|                         3C 59|                               | 31.7911| 29.5280|   20.23|   17.65|   22.75|  0.0|1.82|1.51|2.16|      0.60| 0.1096|44.80|           |         40|Sy1
 108|  SWIFT J0208.4-7428A| 31.630|-74.538|   4.67|             1WGA J0206.7-7427|                               | 31.6904|-74.4626|    7.60|    5.79|    9.20|  0.0|3.24|2.50|4.32|      0.90|       |     |           |        180|HMXB
 109|  SWIFT J0208.4-7428B| 31.911|-74.421|   7.29|               RX J0209.6-7427|                               | 32.4010|-74.4520|    4.86|    1.83|    7.86|  0.0|1.90|0.00|5.22|      0.80|       |     |           |        180|HMXB
 110|   SWIFT J0208.2+4452| 31.970| 44.851|   4.69|                MCG +07-05-016|                               | 31.9649| 44.8438|    6.98|    4.96|    8.97|  0.0|2.54|1.98|3.34|      1.70| 0.0217|42.87|           |         70|Unknown AGN
 111|   SWIFT J0208.5-1738| 32.173|-17.627|   5.85|           NVSS J020834-173933|                               | 32.1455|-17.6594|   11.13|    8.62|   13.71|  0.0|1.90|1.42|2.43|      0.60| 0.1290|44.69|           |         40|Sy1.2
 112|   SWIFT J0209.5-1010| 32.371|-10.158|   5.73|                       ARP 318|                               | 32.3805|-10.1585|   15.18|   12.02|   18.44|  0.0|1.41|0.85|1.98|      0.70|       |     |           |        140|Compact group of galaxies
 113|   SWIFT J0209.7+5226| 32.402| 52.446|  32.60|                   LEDA 138501|                               | 32.3929| 52.4425|   55.63|   53.48|   57.62|  0.0|2.15|2.05|2.26|      0.50| 0.0492|44.50|           |         40|Sy1
 114|   SWIFT J0211.1-4944| 32.738|-49.715|   6.92|                ESO 197- G 027|                               | 32.7189|-49.6985|    9.75|    7.85|   11.50|  0.0|2.16|1.67|2.81|      1.00| 0.0481|43.73|           |         50|Sy2
 115|   SWIFT J0213.7+5147| 33.553| 51.772|   9.25|       2MASX J02141794+5144520|                               | 33.5747| 51.7478|   13.65|   11.84|   15.32|  0.0|2.58|2.19|3.04|      1.30| 0.0490|43.89|           |         80|Beamed AGN
 116|   SWIFT J0214.6-0049| 33.701| -0.777|   5.49|                       Mrk 590|                               | 33.6400| -0.7670|   10.68|    8.01|   13.15|  0.0|1.84|1.21|2.60|      0.40| 0.0264|43.23|           |         40|Sy1.5
 117|   SWIFT J0214.9-6432| 33.728|-64.501|   8.29|       2MASX J02143730-6430052|                               | 33.6557|-64.5014|   12.76|   10.64|   14.71|  0.0|1.92|1.55|2.35|      0.60| 0.0740|44.23|           |         40|Sy1
